Date,Time,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-03-01,8:30,157,13,0.1005623662624816,0.2672008066853308,26,0.1656050955414012
2022-03-01,8:45,17,3,0.1668221453916938,0.2312358426369893,5,0.2941176470588235
2022-03-01,9:0,132,10,0.1196714357409456,0.2348814587954875,22,0.1666666666666666
2022-03-01,9:15,159,9,0.089502750046598,0.1992451104798806,20,0.1257861635220125
2022-03-01,9:30,145,8,0.0915175679043449,0.3271657539089945,27,0.1862068965517241
2022-03-01,9:45,140,2,0.0444816066417843,0.2745751128083454,17,0.1214285714285714
2022-03-01,10:0,143,15,0.1279861102486355,0.2714819192705536,29,0.2027972027972027
2022-03-01,10:15,176,5,0.062852917170279,0.2422306652491542,22,0.125
2022-03-01,10:30,115,5,0.0790495912665906,0.2913597376802695,16,0.1391304347826087
2022-03-01,10:45,125,5,0.085857391167432,0.2206674869017329,15,0.12
2022-03-01,11:0,130,9,0.1116528847863754,0.2710360154288382,27,0.2076923076923077
2022-03-01,11:15,184,7,0.0904122177921438,0.2275227783837645,23,0.125
2022-03-01,11:30,171,10,0.099478736808469,0.2434639619812142,22,0.1286549707602339
2022-03-01,11:45,128,9,0.08873175480403,0.2477313019572938,20,0.15625
2022-03-01,12:0,125,7,0.0799924894683063,0.24007590459809,17,0.136
2022-03-01,12:15,172,9,0.0722586354755168,0.2486438761121393,23,0.1337209302325581
2022-03-01,12:30,157,9,0.092107957312066,0.2379415201805666,22,0.1401273885350318
2022-03-01,12:45,163,9,0.0911747870532555,0.2196823958344172,19,0.1165644171779141
2022-03-01,13:0,160,8,0.0818992833636002,0.272240635736119,28,0.175
2022-03-01,13:15,221,12,0.0896453876406527,0.2528295642587201,35,0.1583710407239819
2022-03-01,13:30,202,14,0.0953458926645061,0.2601159978609805,30,0.1485148514851485
2022-03-01,13:45,215,16,0.1006463964924562,0.2134705022231793,30,0.1395348837209302
2022-03-01,14:0,219,8,0.0744221324386015,0.24010198993374,23,0.1050228310502283
2022-03-01,14:15,235,12,0.099313450596751,0.2219400103397338,39,0.1659574468085106
2022-03-01,14:30,264,10,0.1084204281108792,0.1939587889393896,31,0.1174242424242424
2022-03-01,14:45,302,16,0.0991644517931815,0.2135602246726386,36,0.119205298013245
2022-03-01,15:0,178,6,0.0827311778289339,0.2101481544018814,23,0.1292134831460674
2022-03-01,15:15,161,13,0.1174319050540881,0.2590460030882097,30,0.186335403726708
2022-03-01,15:30,188,12,0.103437956085706,0.2154515374629798,30,0.1595744680851064
2022-03-01,15:45,258,3,0.0895289480469601,0.2293849361085949,32,0.1240310077519379
2022-03-01,16:0,197,12,0.1057184585937426,0.2820217266060157,34,0.1725888324873096
2022-03-01,16:15,275,7,0.0774142516776919,0.1736892680175894,26,0.0945454545454545
2022-03-01,16:30,183,12,0.1000915081138452,0.2240650961379427,24,0.1311475409836065
2022-03-01,16:45,188,15,0.1057856613596742,0.304537799434486,37,0.1968085106382978
2022-03-01,17:0,195,18,0.1166526109314499,0.2812778587252667,35,0.1794871794871795
2022-03-01,17:15,211,11,0.0888315556191296,0.2301920603424697,26,0.1232227488151658
2022-03-01,17:30,181,17,0.118545596137931,0.2971424605246585,29,0.1602209944751381
2022-03-01,17:45,148,9,0.0887673864317302,0.2382036065834687,17,0.1148648648648648
2022-03-01,18:0,57,4,0.1125009726945376,0.1922910692079542,6,0.1052631578947368
