Time,Open,High,Low,Close,Volume,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-06-06 10:00:00,31475.13,31492.28,31393.86,31417.37,427.78375,175.0,16.0,0.1142636175214179,0.3335346792896945,39.0,0.2228571428571428
2022-06-06 10:15:00,31417.37,31449.45,31390.01,31423.99,338.0289,194.0,18.0,0.0924123045364298,0.2787219347633621,37.0,0.190721649484536
2022-06-06 10:30:00,31423.98,31472.87,31390.0,31470.02,391.64726,149.0,29.0,0.1717187099865069,0.339913246180887,41.0,0.2751677852348993
2022-06-06 10:45:00,31470.02,31535.9,31460.33,31483.19,495.69508,190.0,18.0,0.1127313152053638,0.2841954292619265,35.0,0.1842105263157894
2022-06-06 11:00:00,31483.19,31599.37,31383.54,31416.14,713.38434,199.0,10.0,0.0423282815925028,0.2781379231049604,25.0,0.1256281407035175
2022-06-06 11:15:00,31416.15,31475.6,31338.37,31389.6,902.44887,205.0,9.0,0.0597218473646335,0.2858425362181609,31.0,0.1512195121951219
2022-06-06 11:30:00,31389.6,31438.93,31340.29,31393.75,485.38592,198.0,9.0,0.0787004290778904,0.3131374549340986,38.0,0.1919191919191919
2022-06-06 11:45:00,31393.76,31420.0,31349.34,31396.71,550.34268,214.0,0.0,0.0429136246577706,0.3481473346628123,38.0,0.1775700934579439
2022-06-06 12:00:00,31396.72,31468.55,31396.71,31414.99,558.83471,209.0,9.0,0.0390602699169024,0.3247431982592943,30.0,0.1435406698564593
2022-06-06 12:15:00,31415.0,31417.95,31346.95,31409.78,475.76511,225.0,18.0,0.0901950444032748,0.3006176519090939,41.0,0.1822222222222222
2022-06-06 12:30:00,31409.77,31479.57,31399.21,31432.9,370.44141,199.0,7.0,0.0567210362873147,0.2987884748488128,27.0,0.135678391959799
2022-06-06 12:45:00,31432.9,31466.91,31363.12,31408.96,528.53084,196.0,23.0,0.1087045140341114,0.350140891253256,44.0,0.2244897959183673
2022-06-06 13:00:00,31408.97,31432.68,31379.87,31423.44,346.33803,212.0,17.0,0.0841565210974054,0.3190778054663514,41.0,0.1933962264150943
2022-06-06 13:15:00,31423.43,31475.36,31345.0,31468.41,673.02495,237.0,21.0,0.0972041842146513,0.3347424488188805,43.0,0.1814345991561181
2022-06-06 13:30:00,31468.41,31527.9,31256.0,31451.06,1933.82798,259.0,20.0,0.1038444710312893,0.3245525534318357,54.0,0.2084942084942085
2022-06-06 13:45:00,31451.07,31472.32,31337.49,31442.96,1359.64545,249.0,18.0,0.0990901859271448,0.3340996431196704,60.0,0.2409638554216867
2022-06-06 14:00:00,31442.96,31673.32,31421.73,31607.32,1740.64443,271.0,46.0,0.1572572576342583,0.368331098598326,98.0,0.3616236162361623
2022-06-06 14:15:00,31607.32,31747.06,31543.49,31698.58,1195.24717,290.0,24.0,0.088032431730294,0.298641181149724,53.0,0.1827586206896551
2022-06-06 14:30:00,31698.57,31765.64,31601.96,31648.67,1236.85991,255.0,35.0,0.1235913229247956,0.3413545769740196,60.0,0.2352941176470588
2022-06-06 14:45:00,31648.68,31672.97,31450.28,31506.69,745.87265,208.0,15.0,0.0975078524363478,0.2947542450251124,46.0,0.2211538461538461
2022-06-06 15:00:00,31506.69,31534.52,31322.64,31360.0,1050.3093,186.0,5.0,0.0546411045761879,0.2615352960539752,26.0,0.1397849462365591
2022-06-06 15:15:00,31360.0,31387.42,31162.55,31260.25,2263.38346,240.0,9.0,0.0617015465085084,0.3173347367918338,44.0,0.1833333333333333
2022-06-06 15:30:00,31260.26,31476.95,31255.7,31457.93,1260.29026,279.0,-2.0,0.0699865922472009,0.2842238013341304,71.0,0.2544802867383512
2022-06-06 15:45:00,31457.93,31559.41,31391.77,31541.42,928.65089,258.0,3.0,0.0697501215744446,0.2843251050877636,53.0,0.2054263565891473
2022-06-06 16:00:00,31541.41,31555.75,31386.07,31401.09,1012.47323,225.0,29.0,0.1359012655251556,0.3242300220432628,59.0,0.2622222222222222
2022-06-06 16:15:00,31401.09,31409.65,31272.49,31287.73,924.35158,218.0,8.0,0.0644923914864727,0.2648351420086454,29.0,0.1330275229357798
2022-06-06 16:30:00,31287.73,31354.52,31223.78,31276.4,840.68058,211.0,14.0,0.081222495518766,0.3283447711279783,37.0,0.1753554502369668
2022-06-06 16:45:00,31276.4,31329.0,31229.34,31310.95,577.11078,177.0,5.0,0.0553250528140635,0.2922195390542412,27.0,0.1525423728813559
2022-06-06 17:00:00,31310.95,31372.99,31205.17,31227.98,604.04949,192.0,17.0,0.105735862639752,0.3277301687354702,38.0,0.1979166666666666
2022-06-06 17:15:00,31227.98,31264.94,31000.01,31239.12,1596.63461,222.0,19.0,0.1029434081708156,0.2841860720907227,38.0,0.1711711711711711
