Open,High,Low,Close,Volume,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive,High_Low_Pct,Change,RSI,MACD,Stochastic_oscillator,Williams,OBV
43506.5,43598.4,43392.17,43563.59,488.2095,165.0,14.0,0.0974942718604297,0.2810479017807503,30.0,0.1818181818181818,0.004752700775278194,0.0013124478669734874,60.304695287706515,28.59389383008905,50.66908400241755,-22.62985189345872,2344.69001
43563.59,43633.96,43392.0,43492.24,456.28711,200.0,13.0,0.1037924125511199,0.2733640340446722,41.0,0.205,0.005576143067846587,-0.001637835632921858,56.468502439129765,23.95111276912455,50.620161731273555,-33.17616105477933,1888.4028999999998
43492.24,43500.85,43352.0,43367.3,579.97713,162.0,17.0,0.1304033987689763,0.2947855863298115,33.0,0.2037037037037037,0.0034335209448237347,-0.002872696370662786,50.420043613643436,11.421740772740058,39.109039109039756,-51.64365743341103,1308.4257699999998
43367.3,43469.98,43316.46,43348.49,356.40801,180.0,14.0,0.1181863279495802,0.260072837803968,33.0,0.1833333333333333,0.0035441492679688987,-0.00043373694004478214,49.55937443367569,1.3529529539161942,28.881406659184773,-54.42398084370531,952.0177599999998
43348.49,43348.5,43138.16,43234.3,635.99678,169.0,4.0,0.0538604030545426,0.4069257917503476,36.0,0.2130177514792899,0.004875961329829471,-0.002634232472688125,44.583894309208524,-12.735778304893216,-97.79162211167414,-83.3820199471074,316.0209799999999
43234.29,43340.0,43215.04,43258.34,260.31596,164.0,-2.0,0.0345135014816528,0.3200683047655564,21.0,0.1280487804878048,0.00289158589231895,0.0005560399960216067,45.81717490666113,-19.755034575069587,-55.888009302742105,-79.22666067446922,576.3369399999999
43258.33,43309.09,42809.98,43065.88,977.22036,146.0,16.0,0.1311966890807276,0.2762343778400499,29.0,0.1986301369863013,0.011658730043788697,-0.004449084269068093,38.44128402392637,-35.746818365108574,-196.11394891944727,-71.77708418347714,-400.8834200000001
43065.88,43200.0,43027.74,43099.57,470.87657,182.0,10.0,0.083520573671334,0.2736472019144981,28.0,0.1538461538461538,0.0040034638119501986,0.0007822898313003535,40.2544475348621,-42.01025394414431,-47.37754063643216,-68.061452945264,69.9931499999999
43099.56,43343.9,43051.51,43310.47,383.19841,139.0,17.0,0.1268546477683799,0.3424452153309859,31.0,0.2230215827338129,0.006791631698864904,0.004893320281385671,50.15252473275815,-30.442931619392212,-40.83995709452938,-44.8015352207433,453.1915599999999
43310.47,43584.0,43259.35,43578.87,1060.6888,142.0,10.0,0.0785223397026232,0.2649977134051892,22.0,0.1549295774647887,0.007504735970374069,0.006197115847507595,59.37641482045498,-4.56711256143709,15.665003827169777,-15.200008823107702,1513.8803599999999
43578.88,43728.74,43458.86,43515.19,597.09912,150.0,12.0,0.0968071918034305,0.36266354550502,34.0,0.2266666666666666,0.006210011031122247,-0.0014612586329109112,56.695843302545505,7.738381427248596,68.32422730751941,-23.243284426835828,916.7812399999999
43515.18,43887.0,43477.4,43578.52,1025.35438,190.0,13.0,0.1060949036827016,0.2992314481745378,32.0,0.1684210526315789,0.00942098653553337,0.0014553538660866394,58.693070439629636,18.981028379541872,73.21772639691703,-28.641993649143387,1942.13562
43578.51,43718.16,43458.63,43499.99,446.94747,166.0,11.0,0.0846087495089474,0.2578343914705026,24.0,0.144578313253012,0.00597188636641344,-0.001802034580339118,55.28790069883435,19.871709877046328,68.26352046876121,-35.93340885034662,1495.18815
43499.99,43620.0,43350.0,43609.96,678.15042,159.0,6.0,0.0685353068863305,0.2934604411735639,28.0,0.1761006289308176,0.006228373702422145,0.002528046558171626,58.885176049934785,26.211626965683262,36.588935505903095,-25.722827802640776,2173.33857
